i,similarity_value,model_name
1,0.23438288,ViT-H-14
51,0.4488353,ViT-H-14
101,0.46477237,ViT-H-14
151,0.42940694,ViT-H-14
201,0.40442616,ViT-H-14
251,0.45705763,ViT-H-14
301,0.6527046,ViT-H-14
351,0.62861806,ViT-H-14
401,0.60585654,ViT-H-14
451,0.57425374,ViT-H-14
501,0.5622624,ViT-H-14
551,0.50111187,ViT-H-14
601,-0.08681245,ViT-H-14
651,0.09467245,ViT-H-14
701,-0.07871579,ViT-H-14
751,0.2182248,ViT-H-14
801,0.11923718,ViT-H-14
851,0.2761612,ViT-H-14
901,-0.06764317,ViT-H-14
951,-0.111245364,ViT-H-14
1001,0.13952479,ViT-H-14
1051,0.21946049,ViT-H-14
1101,0.25503153,ViT-H-14
1151,0.3569248,ViT-H-14
1201,0.43219638,ViT-H-14
1251,0.51101184,ViT-H-14
1301,0.56442916,ViT-H-14
1351,0.5836587,ViT-H-14
1401,0.6070602,ViT-H-14
1451,0.60316503,ViT-H-14
1501,0.608188,ViT-H-14
1551,0.6580869,ViT-H-14
1601,0.66816306,ViT-H-14
1651,0.6730852,ViT-H-14
1701,0.68350244,ViT-H-14
1751,0.6891368,ViT-H-14
1801,0.68791026,ViT-H-14
1851,0.6972427,ViT-H-14
1901,0.6922031,ViT-H-14
1951,0.69242907,ViT-H-14
2001,0.6878349,ViT-H-14
2051,0.69368494,ViT-H-14
2101,0.6978408,ViT-H-14
2151,0.69629383,ViT-H-14
2201,0.6991823,ViT-H-14
2251,0.70183194,ViT-H-14
2301,0.70905215,ViT-H-14
2351,0.71328837,ViT-H-14
2401,0.71651244,ViT-H-14
2451,0.7176371,ViT-H-14
2501,0.72071207,ViT-H-14
2551,0.7241874,ViT-H-14
2601,0.72660863,ViT-H-14
2651,0.72591215,ViT-H-14
2701,0.72943807,ViT-H-14
2751,0.7348876,ViT-H-14
2801,0.7394141,ViT-H-14
2851,0.7393697,ViT-H-14
2901,0.7395258,ViT-H-14
2951,0.7420469,ViT-H-14
3001,0.74094594,ViT-H-14
3051,0.73949635,ViT-H-14
3101,0.73985505,ViT-H-14
3151,0.7437441,ViT-H-14
3201,0.74840707,ViT-H-14
3251,0.773952,ViT-H-14
3301,0.7761207,ViT-H-14
3351,0.77702725,ViT-H-14
3401,0.77466595,ViT-H-14
3451,0.7756249,ViT-H-14
3501,0.7755303,ViT-H-14
3551,0.7755398,ViT-H-14
3601,0.77505285,ViT-H-14
3651,0.7735251,ViT-H-14
3701,0.77569014,ViT-H-14
3751,0.77746767,ViT-H-14
3801,0.7785286,ViT-H-14
3851,0.7788236,ViT-H-14
3901,0.7759816,ViT-H-14
3951,0.7749002,ViT-H-14
4001,0.77546746,ViT-H-14
4051,0.77865326,ViT-H-14
4101,0.78044635,ViT-H-14
4151,0.7798283,ViT-H-14
4201,0.7785554,ViT-H-14
4251,0.77558875,ViT-H-14
